Taxon,ProcCoord1,ProcCoord2,ProcCoord3,ProcCoord4,ProcCoord5,ProcCoord6,ProcCoord7,ProcCoord8,ProcCoord9,ProcCoord10,ProcCoord11,ProcCoord12,ProcCoord13,ProcCoord14,ProcCoord15,ProcCoord16,ProcCoord17,ProcCoord18,ProcCoord19,ProcCoord20,ProcCoord21,ProcCoord22,ProcCoord23,ProcCoord24
Malaconotus_blanchoti,-0.456985624,0.008469024,0.410149535,0.091507642,0.316090893,-0.04569228,0.232541944,-0.168078712,-0.044933474,0.007608635,0.276083531,0.004665548,-0.349599907,0.067803771,-0.122132712,0.114263875,0.172353517,0.118148484,-0.342942803,-0.022372179,-0.157110484,-0.057115013,0.066485584,-0.119208796
Malacoptila_fusca,-0.50963369,0.006939545,0.350885271,0.086626551,0.313610891,-0.02461508,0.212533649,-0.159668443,-0.007128211,-0.006326998,0.300184787,0.038696087,-0.353572447,0.057993561,-0.083967011,0.083043193,0.204616217,0.083044308,-0.357550563,-0.005939967,-0.142161878,-0.04354027,0.072182985,-0.116252487
Malurus_splendens,-0.424596087,0.00267909,0.407807413,0.035865306,0.381534096,-0.025480532,0.270795424,-0.114294211,-0.099931092,0.020447646,0.320036373,-0.014390088,-0.354197058,0.039625187,-0.185367676,0.075483963,0.155471478,0.067751787,-0.334732102,-6.12E-04,-0.191088789,-0.01667837,0.054268021,-0.070397921
Manacus_manacus,-0.431811896,-0.010710013,0.423962359,0.053839383,0.377553441,-0.03826139,0.231403844,-0.148615122,-0.081421875,0.017720063,0.296592379,0.0069603,-0.344119684,0.059986499,-0.160279123,0.104065601,0.144974312,0.096088279,-0.327690222,-0.012730928,-0.172641727,-0.032316141,0.043478192,-0.096026531
Margarornis_squamiger,-0.429652692,-0.00290462,0.410480211,0.046934914,0.359988584,-0.016842972,0.205383165,-0.121967912,-0.090152575,-6.24E-05,0.355215548,0.03269525,-0.34105612,0.03266349,-0.154308782,0.068910397,0.21512915,0.062728736,-0.339136183,-0.005604097,-0.208114514,-0.029656205,0.016224207,-0.066894578
Megaceryle_alcyon,-0.563724147,0.027128081,0.361417743,0.058906205,0.33910825,-0.001244663,0.231431057,-0.121101709,0.046247193,0.013808296,0.232636606,0.011967995,-0.375791663,0.051060547,-0.049105667,0.053889491,0.142575814,0.054428274,-0.373370964,-0.005986502,-0.097065379,-0.05140755,0.105641157,-0.091448463
Megaceryle_maxima,-0.595011047,0.020483411,0.342538271,0.05034941,0.319241457,0.004569098,0.217661423,-0.110811212,0.074368913,0.009554416,0.232145827,0.022518991,-0.375674423,0.048602863,-0.014424505,0.056273983,0.165174268,0.054014488,-0.384558942,-0.008547625,-0.088013731,-0.056291786,0.10655249,-0.090716037
Megalaima_zeylanica,-0.49291903,0.003288013,0.369321131,0.076272152,0.346033852,0.006188494,0.194977074,-0.200612518,-0.00717375,0.036290167,0.272763505,0.011915783,-0.344692761,0.061886678,-0.085795931,0.111361991,0.164971129,0.114224485,-0.343103419,-0.01167904,-0.137972328,-0.066907806,0.063590529,-0.1422284
Megalurus_palustris,-0.451975562,0.008229259,0.421861592,0.038949503,0.388192981,-0.032032542,0.261309046,-0.119315715,-0.067068017,0.012319351,0.276254918,-0.003332339,-0.362216149,0.047594919,-0.160752236,0.075680005,0.119365944,0.073958141,-0.335722333,-0.001677923,-0.155787985,-0.024882576,0.066537801,-0.075490082
Megarynchus_pitangua,-0.521777192,-0.031950569,0.330849188,0.051510749,0.31084194,-0.025007873,0.205446301,-0.140274185,0.009709718,0.021332535,0.306357073,0.024874078,-0.355097796,0.058508327,-0.06464059,0.107262062,0.219689231,0.083745584,-0.367382204,-0.014203095,-0.145192564,-0.036117666,0.071196896,-0.099679948
Meiglyptes_tukki,-0.554538782,0.002469149,0.357573727,0.049387103,0.321930104,-0.008624225,0.21713934,-0.109913117,0.031979099,-0.00201021,0.263291918,0.003936552,-0.365727111,0.050293699,-0.052683841,0.084970577,0.17825945,0.074786862,-0.369130517,-0.014176369,-0.113515625,-0.044697759,0.085422238,-0.086422263
Melanerpes_carolinus,-0.524909582,0.028150512,0.351924473,0.0430296,0.360283489,-0.010248787,0.274481356,-0.105250479,7.22E-04,-0.00206075,0.257593463,-0.016553265,-0.382720004,0.053028803,-0.109486355,0.069852924,0.128637835,0.060698607,-0.360653366,-7.04E-05,-0.113229745,-0.038473756,0.11735674,-0.082103027
Melierax_canorus,-0.452056923,-0.078169504,0.457394121,0.0991483,0.330894814,0.003463857,0.035040043,-0.236255055,-0.036439755,0.027196107,0.323426018,0.083280732,-0.273857003,0.06888208,-0.027537798,0.123944421,0.260541263,0.153241088,-0.335491855,-0.033603495,-0.203228137,-0.055221441,-0.078684789,-0.155907089
Meliphaga_albilineata,-0.443153902,-0.009599724,0.442131268,0.025072347,0.387381279,-0.067630727,0.288011468,-0.127863289,-0.079856132,0.032187627,0.252008897,0.00656505,-0.358190151,0.047858712,-0.175659256,0.09062685,0.090295241,0.092847251,-0.327749404,0.005738333,-0.152295315,-0.017070869,0.077076006,-0.078731561
Melithreptus_lunatus,-0.449075523,0.007708258,0.436982947,0.029084218,0.392068781,-0.029279397,0.267018302,-0.117884319,-0.077913803,0.010358023,0.268092035,-0.003636254,-0.354565817,0.041802252,-0.164957659,0.074836089,0.11220789,0.080795809,-0.333224669,6.87E-04,-0.160242263,-0.019498211,0.063609779,-0.07497342
Menura_novaehollandiae,-0.406138095,0.014573387,0.426863136,0.043066845,0.375851638,-0.04075528,0.280251007,-0.108527247,-0.113756171,0.00672735,0.321301424,-0.001137608,-0.362835757,0.043892098,-0.206742759,0.071100681,0.150507228,0.061026412,-0.329466744,0.00244569,-0.194079681,-0.025895332,0.058244773,-0.066516997
Merops_ornatus,-0.546686337,-0.002698825,0.358581861,0.033770971,0.323940721,-0.028249,0.252933264,-0.103490807,0.021116938,0.012945831,0.253495819,-0.00173913,-0.382047793,0.04678065,-0.082189538,0.074448433,0.156662935,0.064037652,-0.36991614,-0.001832864,-0.10799656,-0.025210104,0.12210483,-0.068762807
Micrathene_whitneyi,-0.42475401,-0.058392423,0.461536133,0.066004374,0.330762862,-0.007975333,0.10948819,-0.237026881,-0.059421473,0.064847641,0.305642636,0.073971653,-0.290181409,0.069695255,-0.077984026,0.146665297,0.215569003,0.145597998,-0.326898503,-0.042769846,-0.204320757,-0.062675187,-0.039438645,-0.157942546
Microbates_cinereiventris,-0.505579177,0.007206385,0.391558567,0.037006277,0.345801634,-0.021043824,0.253955407,-0.085975813,-0.020838944,0.006207274,0.278825901,-0.004834205,-0.377648918,0.039962189,-0.115568542,0.051072352,0.160494764,0.046338908,-0.360420685,-7.09E-05,-0.138541519,-0.019298261,0.087961513,-0.056570386
Microhierax_caerulescens,-0.475161916,-0.097694297,0.464473762,0.136147108,0.303362584,-0.03977292,0.132532621,-0.286166618,0.006495729,0.054077263,0.191806,0.021144205,-0.293085191,0.1266936,-0.015226658,0.2041545,0.149363281,0.199722659,-0.329675179,-0.024023015,-0.134182432,-0.073895089,-7.03E-04,-0.220387395
Micromonacha_lanceolata,-0.471808441,0.017287532,0.362094572,0.073026975,0.315891239,-0.016795923,0.243153947,-0.171419903,-0.037432042,0.012278992,0.30572804,0.025852223,-0.362309652,0.061084578,-0.125610088,0.084410116,0.192346575,0.082751015,-0.351180271,-0.01163198,-0.155006239,-0.041560703,0.08413236,-0.115282921
Micropsitta_finschii,-0.452210444,-0.082160819,0.388660292,0.102533312,0.362950377,-0.004270763,0.121034711,-0.225840392,-0.018297506,0.091745831,0.282963214,0.057392712,-0.24554296,0.112284123,0.005691352,0.171153052,0.22047182,0.158734056,-0.335987686,-0.023554109,-0.266415559,-0.144060271,-0.063317612,-0.213956733
